ImageId,Label
0,4
1,9
2,4
3,4
4,4
5,4
6,7
7,4
8,9
9,4
10,4
11,4
12,4
13,9
14,4
15,7
16,7
17,4
18,4
19,9
20,7
21,4
22,4
23,4
24,4
25,4
26,4
27,7
28,4
29,4
30,4
31,4
32,7
33,4
34,4
35,4
36,4
37,4
38,4
39,7
40,4
41,6
42,4
43,4
44,4
45,7
46,4
47,4
48,4
49,4
50,4
51,4
52,4
53,4
54,4
55,4
56,4
57,4
58,4
59,9
60,4
61,4
62,4
63,4
64,9
65,4
66,4
67,4
68,4
69,4
70,4
71,4
72,4
73,4
74,4
75,9
76,9
77,4
78,4
79,7
80,4
81,4
82,4
83,7
84,4
85,4
86,9
87,4
88,4
89,4
90,9
91,9
92,4
93,4
94,4
95,7
96,7
97,4
98,6
99,4
100,4
101,4
102,4
103,7
104,4
105,4
106,9
107,4
108,9
109,4
110,4
111,9
112,4
113,4
114,4
115,4
116,4
117,4
118,7
119,4
120,9
121,4
122,4
123,4
124,7
125,4
126,4
127,4
128,4
129,4
130,7
131,4
132,4
133,7
134,4
135,9
136,4
137,4
138,4
139,9
140,9
141,4
142,4
143,4
144,4
145,4
146,4
147,7
148,4
149,4
150,4
151,4
152,4
153,4
154,4
155,4
156,4
157,4
158,7
159,4
160,7
161,4
162,4
163,4
164,4
165,4
166,4
167,4
168,4
169,9
170,9
171,4
172,7
173,4
174,4
175,4
176,4
177,4
178,4
179,4
180,4
181,4
182,4
183,4
184,4
185,4
186,9
187,4
188,4
189,4
190,4
191,4
192,4
193,4
194,4
195,9
196,4
197,4
198,7
199,4
200,4
201,4
202,4
203,4
204,4
205,7
206,4
207,4
208,4
209,4
210,4
211,4
212,9
213,4
214,4
215,4
216,4
217,4
218,4
219,4
220,9
221,4
222,4
223,4
224,9
225,4
226,4
227,9
228,4
229,7
230,9
231,4
232,4
233,4
234,4
235,4
236,4
237,4
238,4
239,4
240,4
241,4
242,4
243,9
244,4
245,9
246,4
247,8
248,4
249,7
250,4
251,7
252,4
253,4
254,4
255,4
256,7
257,4
258,4
259,9
260,9
261,9
262,4
263,4
264,7
265,4
266,4
267,4
268,8
269,4
270,4
271,4
272,7
273,4
274,4
275,9
276,4
277,4
278,4
279,4
280,9
281,4
282,4
283,9
284,7
285,4
286,7
287,4
288,4
289,4
290,4
291,4
292,4
293,4
294,7
295,4
296,7
297,7
298,9
299,4
300,4
301,4
302,4
303,4
304,4
305,4
306,4
307,4
308,4
309,9
310,4
311,4
312,4
313,4
314,4
315,4
316,4
317,4
318,4
319,4
320,4
321,4
322,4
323,4
324,4
325,7
326,4
327,4
328,4
329,4
330,4
331,4
332,4
333,4
334,4
335,4
336,7
337,4
338,4
339,4
340,4
341,4
342,4
343,4
344,4
345,4
346,7
347,6
348,4
349,4
350,7
351,4
352,4
353,4
354,7
355,4
356,7
357,4
358,4
359,4
360,4
361,4
362,4
363,4
364,4
365,4
366,4
367,4
368,4
369,9
370,4
371,4
372,4
373,7
374,7
375,4
376,7
377,4
378,9
379,4
380,4
381,4
382,4
383,4
384,4
385,4
386,4
387,4
388,4
389,4
390,4
391,4
392,4
393,4
394,4
395,4
396,4
397,4
398,4
399,7
400,4
401,4
402,4
403,4
404,4
405,4
406,9
407,4
408,7
409,4
410,4
411,4
412,4
413,4
414,4
415,4
416,4
417,4
418,4
419,4
420,4
421,7
422,4
423,7
424,7
425,4
426,4
427,4
428,4
429,4
430,4
431,4
432,7
433,4
434,4
435,4
436,4
437,4
438,4
439,9
440,4
441,9
442,7
443,4
444,4
445,4
446,4
447,4
448,4
449,4
450,4
451,6
452,9
453,4
454,9
455,4
456,4
457,4
458,4
459,4
460,4
461,4
462,4
463,4
464,4
465,4
466,4
467,4
468,4
469,4
470,4
471,4
472,7
473,4
474,4
475,7
476,4
477,4
478,4
479,7
480,7
481,4
482,4
483,4
484,4
485,4
486,7
487,4
488,4
489,4
490,7
491,4
492,4
493,4
494,9
495,4
496,4
497,4
498,4
499,4
500,4
501,4
502,4
503,7
504,4
505,4
506,4
507,4
508,4
509,8
510,4
511,4
512,4
513,7
514,4
515,4
516,4
517,4
518,4
519,9
520,4
521,4
522,4
523,4
524,4
525,4
526,9
527,4
528,4
529,6
530,9
531,4
532,4
533,4
534,7
535,4
536,7
537,7
538,4
539,4
540,4
541,7
542,4
543,1
544,9
545,7
546,7
547,7
548,4
549,4
550,4
551,4
552,9
553,4
554,7
555,9
556,6
557,4
558,4
559,4
560,4
561,4
562,4
563,4
564,4
565,4
566,4
567,4
568,4
569,4
570,9
571,4
572,4
573,4
574,4
575,4
576,4
577,4
578,4
579,4
580,4
581,4
582,4
583,4
584,4
585,4
586,7
587,4
588,4
589,4
590,4
591,4
592,4
593,4
594,4
595,7
596,4
597,4
598,9
599,7
600,4
601,4
602,4
603,4
604,7
605,4
606,4
607,4
608,4
609,4
610,4
611,4
612,4
613,4
614,4
615,4
616,7
617,4
618,4
619,7
620,4
621,4
622,4
623,4
624,4
625,4
626,4
627,7
628,4
629,7
630,4
631,4
632,4
633,4
634,4
635,4
636,4
637,7
638,4
639,4
640,7
641,4
642,4
643,4
644,4
645,4
646,4
647,4
648,4
649,4
650,4
651,7
652,4
653,7
654,4
655,7
656,4
657,4
658,4
659,6
660,4
661,4
662,4
663,9
664,9
665,4
666,4
667,4
668,9
669,4
670,4
671,4
672,4
673,4
674,7
675,7
676,7
677,4
678,4
679,9
680,4
681,4
682,4
683,4
684,4
685,7
686,4
687,4
688,4
689,7
690,4
691,4
692,9
693,4
694,4
695,4
696,4
697,4
698,4
699,4
700,4
701,4
702,4
703,9
704,9
705,7
706,4
707,4
708,4
709,7
710,4
711,4
712,4
713,4
714,4
715,4
716,4
717,4
718,4
719,4
720,4
721,4
722,4
723,9
724,4
725,7
726,4
727,4
728,4
729,4
730,4
731,4
732,4
733,7
734,4
735,4
736,4
737,4
738,4
739,7
740,4
741,4
742,4
743,4
744,4
745,4
746,4
747,4
748,4
749,4
750,7
751,4
752,7
753,4
754,4
755,4
756,7
757,4
758,4
759,4
760,4
761,9
762,4
763,9
764,4
765,7
766,4
767,7
768,4
769,4
770,9
771,4
772,7
773,4
774,4
775,4
776,4
777,4
778,4
779,4
780,4
781,4
782,4
783,4
784,7
785,7
786,4
787,4
788,4
789,7
790,4
791,4
792,4
793,9
794,4
795,4
796,4
797,4
798,4
799,4
800,4
801,4
802,4
803,9
804,4
805,4
806,7
807,4
808,4
809,4
810,7
811,4
812,4
813,4
814,4
815,7
816,4
817,4
818,4
819,4
820,9
821,9
822,7
823,4
824,4
825,4
826,4
827,7
828,4
829,1
830,4
831,4
832,9
833,4
834,4
835,4
836,4
837,4
838,4
839,4
840,4
841,4
842,4
843,4
844,4
845,7
846,6
847,4
848,4
849,7
850,4
851,4
852,4
853,4
854,4
855,7
856,4
857,4
858,4
859,4
860,4
861,4
862,4
863,4
864,4
865,9
866,4
867,4
868,4
869,4
870,4
871,4
872,7
873,9
874,9
875,4
876,4
877,4
878,9
879,4
880,4
881,4
882,4
883,4
884,4
885,4
886,4
887,4
888,4
889,4
890,4
891,4
892,1
893,9
894,4
895,4
896,4
897,7
898,4
899,4
900,7
901,7
902,9
903,4
904,4
905,4
906,4
907,4
908,9
909,4
910,4
911,4
912,9
913,4
914,4
915,4
916,4
917,4
918,4
919,9
920,4
921,4
922,4
923,4
924,4
925,4
926,4
927,4
928,4
929,4
930,4
931,4
932,4
933,4
934,4
935,9
936,4
937,4
938,4
939,4
940,4
941,4
942,4
943,4
944,7
945,4
946,4
947,4
948,7
949,4
950,4
951,4
952,4
953,4
954,4
955,4
956,4
957,4
958,7
959,9
960,4
961,4
962,4
963,4
964,9
965,7
966,4
967,4
968,4
969,4
970,4
971,4
972,9
973,4
974,4
975,9
976,4
977,7
978,4
979,4
980,9
981,4
982,4
983,4
984,4
985,4
986,4
987,7
988,7
989,4
990,4
991,4
992,9
993,4
994,4
995,4
996,4
997,4
998,4
999,7
1000,7
1001,4
1002,7
1003,4
1004,4
1005,7
1006,4
1007,9
1008,4
1009,7
1010,4
1011,7
1012,4
1013,4
1014,9
1015,4
1016,4
1017,4
1018,4
1019,4
1020,4
1021,4
1022,4
1023,4
1024,4
1025,7
1026,4
1027,7
1028,4
1029,4
1030,4
1031,4
1032,4
1033,4
1034,4
1035,4
1036,4
1037,4
1038,4
1039,4
1040,4
1041,4
1042,4
1043,4
1044,1
1045,9
1046,4
1047,7
1048,4
1049,7
1050,9
1051,4
1052,4
1053,4
1054,4
1055,4
1056,4
1057,4
1058,4
1059,7
1060,7
1061,4
1062,4
1063,9
1064,4
1065,4
1066,4
1067,9
1068,4
1069,7
1070,9
1071,7
1072,4
1073,4
1074,4
1075,9
1076,7
1077,4
1078,4
1079,4
1080,4
1081,4
1082,4
1083,7
1084,4
1085,4
1086,9
1087,7
1088,7
1089,4
1090,4
1091,4
1092,4
1093,4
1094,4
1095,7
1096,4
1097,7
1098,7
1099,9
1100,4
1101,4
1102,4
1103,4
1104,4
1105,4
1106,9
1107,4
1108,4
1109,4
1110,4
1111,7
1112,7
1113,4
1114,4
1115,4
1116,4
1117,4
1118,4
1119,4
1120,4
1121,4
1122,9
1123,4
1124,4
1125,4
1126,4
1127,4
1128,4
1129,4
1130,4
1131,7
1132,4
1133,4
1134,7
1135,4
1136,4
1137,4
1138,4
1139,4
1140,4
1141,7
1142,4
1143,4
1144,9
1145,4
1146,4
1147,4
1148,7
1149,7
1150,4
1151,6
1152,4
1153,4
1154,7
1155,4
1156,4
1157,4
1158,4
1159,4
1160,4
1161,4
1162,4
1163,4
1164,4
1165,4
1166,4
1167,7
1168,4
1169,4
1170,4
1171,4
1172,4
1173,4
1174,4
1175,4
1176,4
1177,4
1178,9
1179,4
1180,4
1181,7
1182,7
1183,4
1184,7
1185,7
1186,9
1187,4
1188,9
1189,4
1190,4
1191,7
1192,4
1193,4
1194,4
1195,4
1196,4
1197,4
1198,4
1199,4
1200,4
1201,4
1202,4
1203,7
1204,4
1205,4
1206,4
1207,4
1208,4
1209,4
1210,7
1211,4
1212,4
1213,4
1214,4
1215,4
1216,4
1217,4
1218,4
1219,4
1220,4
1221,9
1222,9
1223,7
1224,4
1225,4
1226,4
1227,4
1228,4
1229,4
1230,4
1231,4
1232,9
1233,4
1234,4
1235,4
1236,4
1237,4
1238,4
1239,4
1240,4
1241,4
1242,7
1243,4
1244,7
1245,4
1246,4
1247,4
1248,4
1249,7
1250,9
1251,4
1252,9
1253,4
1254,4
1255,4
1256,7
1257,4
1258,4
1259,7
1260,4
1261,4
1262,4
1263,4
1264,9
1265,4
1266,4
1267,4
1268,4
1269,4
1270,4
1271,4
1272,4
1273,4
1274,7
1275,4
1276,4
1277,4
1278,4
1279,7
1280,4
1281,4
1282,4
1283,7
1284,4
1285,4
1286,9
1287,4
1288,4
1289,4
1290,4
1291,4
1292,4
1293,4
1294,4
1295,4
1296,4
1297,4
1298,4
1299,4
1300,4
1301,4
1302,4
1303,4
1304,4
1305,9
1306,4
1307,4
1308,7
1309,4
1310,4
1311,7
1312,7
1313,7
1314,4
1315,8
1316,4
1317,4
1318,4
1319,7
1320,4
1321,4
1322,4
1323,4
1324,4
1325,7
1326,4
1327,4
1328,4
1329,4
1330,4
1331,7
1332,9
1333,4
1334,4
1335,4
1336,4
1337,4
1338,4
1339,4
1340,4
1341,4
1342,4
1343,4
1344,4
1345,7
1346,7
1347,4
1348,4
1349,4
1350,9
1351,4
1352,4
1353,4
1354,7
1355,9
1356,7
1357,7
1358,4
1359,4
1360,4
1361,4
1362,4
1363,7
1364,4
1365,4
1366,9
1367,4
1368,9
1369,4
1370,4
1371,7
1372,4
1373,4
1374,4
1375,9
1376,4
1377,9
1378,4
1379,4
1380,4
1381,4
1382,9
1383,4
1384,4
1385,7
1386,4
1387,4
1388,4
1389,4
1390,4
1391,4
1392,4
1393,4
1394,4
1395,4
1396,4
1397,4
1398,7
1399,4
1400,4
1401,9
1402,4
1403,4
1404,7
1405,9
1406,7
1407,4
1408,4
1409,4
1410,4
1411,4
1412,9
1413,4
1414,7
1415,4
1416,7
1417,9
1418,4
1419,4
1420,4
1421,7
1422,7
1423,4
1424,4
1425,4
1426,4
1427,9
1428,4
1429,4
1430,7
1431,4
1432,4
1433,4
1434,1
1435,4
1436,4
1437,4
1438,4
1439,7
1440,4
1441,7
1442,4
1443,4
1444,7
1445,4
1446,7
1447,4
1448,4
1449,9
1450,4
1451,7
1452,7
1453,9
1454,4
1455,4
1456,4
1457,4
1458,4
1459,4
1460,4
1461,7
1462,4
1463,4
1464,4
1465,4
1466,7
1467,4
1468,4
1469,4
1470,4
1471,7
1472,9
1473,4
1474,4
1475,7
1476,9
1477,7
1478,4
1479,4
1480,4
1481,7
1482,7
1483,4
1484,4
1485,9
1486,4
1487,4
1488,4
1489,9
1490,6
1491,9
1492,4
1493,4
1494,4
1495,9
1496,4
1497,7
1498,4
1499,4
1500,9
1501,4
1502,7
1503,4
1504,4
1505,9
1506,4
1507,4
1508,9
1509,4
1510,4
1511,4
1512,4
1513,4
1514,4
1515,4
1516,4
1517,4
1518,4
1519,4
1520,4
1521,4
1522,4
1523,4
1524,4
1525,4
1526,4
1527,4
1528,4
1529,4
1530,6
1531,4
1532,4
1533,4
1534,7
1535,7
1536,9
1537,4
1538,9
1539,9
1540,4
1541,4
1542,4
1543,9
1544,9
1545,4
1546,4
1547,4
1548,4
1549,4
1550,4
1551,4
1552,4
1553,4
1554,4
1555,7
1556,4
1557,4
1558,4
1559,9
1560,4
1561,4
1562,4
1563,4
1564,7
1565,7
1566,7
1567,4
1568,4
1569,4
1570,4
1571,9
1572,4
1573,4
1574,4
1575,4
1576,4
1577,4
1578,4
1579,4
1580,7
1581,4
1582,4
1583,4
1584,7
1585,4
1586,4
1587,4
1588,4
1589,4
1590,4
1591,1
1592,4
1593,4
1594,4
1595,4
1596,4
1597,4
1598,4
1599,4
1600,4
1601,4
1602,4
1603,4
1604,4
1605,4
1606,4
1607,4
1608,4
1609,4
1610,4
1611,4
1612,4
1613,9
1614,4
1615,4
1616,4
1617,4
1618,4
1619,4
1620,9
1621,4
1622,4
1623,9
1624,4
1625,9
1626,4
1627,4
1628,4
1629,4
1630,4
1631,4
1632,4
1633,4
1634,4
1635,4
1636,4
1637,4
1638,4
1639,4
1640,4
1641,4
1642,4
1643,4
1644,4
1645,4
1646,4
1647,4
1648,4
1649,7
1650,4
1651,7
1652,4
1653,4
1654,4
1655,4
1656,4
1657,4
1658,4
1659,4
1660,4
1661,4
1662,4
1663,4
1664,4
1665,4
1666,4
1667,4
1668,4
1669,4
1670,4
1671,4
1672,4
1673,7
1674,7
1675,4
1676,4
1677,4
1678,4
1679,7
1680,4
1681,7
1682,4
1683,4
1684,7
1685,4
1686,4
1687,7
1688,9
1689,4
1690,4
1691,9
1692,4
1693,4
1694,4
1695,7
1696,4
1697,4
1698,4
1699,9
1700,4
1701,4
1702,4
1703,4
1704,4
1705,7
1706,7
1707,4
1708,7
1709,4
1710,4
1711,4
1712,9
1713,4
1714,4
1715,4
1716,4
1717,9
1718,4
1719,4
1720,4
1721,4
1722,9
1723,4
1724,4
1725,4
1726,4
1727,7
1728,4
1729,4
1730,9
1731,4
1732,4
1733,4
1734,4
1735,9
1736,4
1737,4
1738,4
1739,9
1740,4
1741,4
1742,4
1743,4
1744,4
1745,4
1746,4
1747,4
1748,4
1749,4
1750,4
1751,4
1752,4
1753,4
1754,4
1755,4
1756,7
1757,4
1758,4
1759,4
1760,4
1761,4
1762,4
1763,4
1764,4
1765,4
1766,4
1767,7
1768,4
1769,4
1770,4
1771,4
1772,4
1773,4
1774,4
1775,7
1776,4
1777,4
1778,4
1779,4
1780,4
1781,4
1782,6
1783,4
1784,7
1785,1
1786,9
1787,4
1788,4
1789,4
1790,4
1791,4
1792,4
1793,4
1794,4
1795,4
1796,9
1797,4
1798,9
1799,4
1800,9
1801,9
1802,7
1803,7
1804,7
1805,4
1806,4
1807,4
1808,4
1809,4
1810,4
1811,4
1812,4
1813,4
1814,4
1815,4
1816,4
1817,4
1818,4
1819,4
1820,4
1821,4
1822,4
1823,7
1824,4
1825,4
1826,4
1827,4
1828,7
1829,4
1830,4
1831,4
1832,4
1833,4
1834,4
1835,9
1836,9
1837,8
1838,4
1839,4
1840,4
1841,4
1842,7
1843,7
1844,7
1845,4
1846,4
1847,4
1848,4
1849,4
1850,9
1851,4
1852,4
1853,4
1854,4
1855,4
1856,9
1857,4
1858,7
1859,7
1860,7
1861,4
1862,7
1863,4
1864,4
1865,4
1866,4
1867,7
1868,4
1869,4
1870,4
1871,4
1872,9
1873,4
1874,9
1875,9
1876,4
1877,4
1878,4
1879,4
1880,4
1881,4
1882,7
1883,4
1884,4
1885,4
1886,4
1887,4
1888,4
1889,4
1890,7
1891,4
1892,4
1893,4
1894,4
1895,4
1896,4
1897,4
1898,4
1899,4
1900,4
1901,4
1902,9
1903,7
1904,4
1905,4
1906,4
1907,7
1908,4
1909,4
1910,4
1911,4
1912,4
1913,4
1914,4
1915,6
1916,4
1917,4
1918,7
1919,4
1920,9
1921,4
1922,4
1923,4
1924,4
1925,4
1926,4
1927,4
1928,4
1929,7
1930,7
1931,4
1932,4
1933,4
1934,4
1935,4
1936,4
1937,7
1938,4
1939,4
1940,4
1941,4
1942,9
1943,4
1944,4
1945,4
1946,4
1947,4
1948,4
1949,9
1950,4
1951,7
1952,7
1953,4
1954,4
1955,4
1956,4
1957,4
1958,4
1959,4
1960,4
1961,4
1962,7
1963,4
1964,4
1965,4
1966,4
1967,4
1968,7
1969,9
1970,9
1971,4
1972,4
1973,4
1974,4
1975,4
1976,9
1977,4
1978,4
1979,4
1980,4
1981,4
1982,4
1983,4
1984,4
1985,4
1986,4
1987,4
1988,6
1989,9
1990,4
1991,4
1992,7
1993,4
1994,7
1995,9
1996,9
1997,4
1998,4
1999,4
2000,4
2001,4
2002,4
2003,4
2004,7
2005,9
2006,4
2007,4
2008,4
2009,4
2010,4
2011,4
2012,4
2013,4
2014,7
2015,4
2016,4
2017,4
2018,4
2019,4
2020,4
2021,4
2022,4
2023,8
2024,9
2025,4
2026,4
2027,9
2028,4
2029,4
2030,7
2031,4
2032,4
2033,4
2034,4
2035,4
2036,4
2037,4
2038,4
2039,7
2040,4
2041,7
2042,4
2043,4
2044,4
2045,9
2046,4
2047,7
2048,9
2049,4
2050,9
2051,4
2052,7
2053,4
2054,4
2055,4
2056,4
2057,9
2058,7
2059,4
2060,4
2061,4
2062,4
2063,4
2064,9
2065,7
2066,7
2067,4
2068,4
2069,4
2070,4
2071,4
2072,7
2073,4
2074,4
2075,4
2076,4
2077,7
2078,7
2079,4
2080,7
2081,4
2082,4
2083,4
2084,9
2085,4
2086,4
2087,9
2088,4
2089,4
2090,4
2091,7
